
> @yodev/ads@0.1.0 test:coverage
> vitest run --coverage


 RUN  v4.1.10 /Users/yoannandrieux/Projets/yodev-ads/web
      Coverage enabled with v8


 Test Files  153 passed (153)
      Tests  1067 passed (1067)
   Start at  04:41:16
   Duration  9.38s (transform 4.22s, setup 0ms, import 34.41s, tests 4.01s, environment 11ms)

 % Coverage report from v8
-------------------|---------|----------|---------|---------|-------------------
File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s
-------------------|---------|----------|---------|---------|-------------------
All files          |   89.76 |    83.77 |   91.36 |    92.7 |
 ...t-selection.ts |   21.31 |    13.04 |   26.31 |   20.51 | 12-33,51-76
 ...n-analytics.ts |   95.74 |    81.81 |      80 |     100 | 6,15,31-49,57,62
 ...tion-events.ts |   94.44 |       90 |     100 |     100 | 21,33
 ...t-reminders.ts |   96.77 |    84.37 |     100 |     100 | 33-37,64-66,78
 analysis.ts       |   96.15 |    88.97 |   86.66 |   95.55 | 226-227
 ...collections.ts |   55.31 |    60.56 |   58.33 |   61.97 | 31-70
 ...tical-model.ts |      96 |    85.29 |     100 |     100 | 38,46
 ...-repository.ts |   82.22 |    65.38 |    87.5 |   91.17 | 88,246-247
 api-v1.ts         |   98.38 |    93.61 |     100 |   98.07 | 133
 ...hange-batch.ts |   86.95 |    84.21 |     100 |     100 | 20,35-42
 auth-client.ts    |       0 |      100 |     100 |       0 | 1-8
 ...email-model.ts |     100 |    95.45 |     100 |     100 | 28
 auth-emails.ts    |   77.27 |    38.46 |     100 |   80.95 | 69-73
 auth.ts           |   42.85 |       50 |    37.5 |   45.16 | 32-65,125-207
 ...-management.ts |   63.82 |    52.63 |   71.42 |   65.78 | 42,158-203
 billing.ts        |   84.84 |    79.48 |      84 |   85.71 | 135-137,213-220
 ...ding-assets.ts |      95 |       85 |     100 |     100 | 5,18
 ...eallocation.ts |   94.73 |    93.75 |     100 |   94.11 | 49
 budget-safety.ts  |   94.11 |    95.55 |   71.42 |   93.75 | 78-80
 ...ndar-window.ts |   97.82 |    97.29 |     100 |     100 | 54
 ...eport-model.ts |   69.23 |       80 |   77.77 |   78.94 | 34-40
 ...-report-pdf.ts |   64.35 |    45.23 |      90 |   69.41 | ...,57-71,127-139
 crypto.ts         |   90.69 |    85.29 |     100 |     100 | 24-31,51,67
 data.ts           |   89.92 |       85 |   88.88 |   88.34 | ...10,130-154,501
 entitlements.ts   |   94.73 |    94.11 |     100 |     100 | 116
 feature-flags.ts  |   95.83 |    70.83 |     100 |     100 | 37,50,72,78-80
 ...ccount-sync.ts |   97.05 |       95 |     100 |     100 | 61
 ...-read-drill.ts |   96.36 |    83.33 |   93.75 |   95.55 | 91,97
